,dist,p1,p2
1,0.67735672477389,1,2
2,0.9268055040686143,1,3
3,0.5811505195802537,1,4
4,0.5676364232889154,1,5
5,0.7773098873020658,1,6
6,0.9448774283258905,1,7
7,0.7725718774245391,1,8
8,0.6315983238184408,1,9
9,0.7362665142329369,1,10
10,0.7464896347381551,1,11
11,0.5747090638492586,1,12
12,0.704237447380474,1,13
13,0.6494325078745875,1,14
14,0.6087473278971485,1,15
15,0.6905663501785116,1,16
16,0.624124500944446,1,18
17,0.5882641410274688,1,19
18,0.6619291476399515,1,20
19,0.5596930362612258,1,21
20,0.6427821144190581,1,22
21,0.7515620072400659,1,23
22,1.625131663618655,1,24
23,0.6982578607531574,1,25
24,0.9839048079215993,1,26
26,0.8329586100743083,2,3
27,0.6841932856543601,2,4
28,0.6871147753420106,2,5
29,0.7263913649699709,2,6
30,0.8116018822369955,2,7
31,0.7097717130469431,2,8
32,0.6634791008256204,2,9
33,0.6936489889158552,2,10
34,0.7974840306096637,2,11
35,0.629907536243451,2,12
36,0.6786814351733573,2,13
37,0.8094926458076422,2,14
38,0.6832105302643047,2,15
39,0.8631846370685737,2,16
40,0.6409658135453778,2,18
41,0.6937277687016602,2,19
42,0.6677053600506379,2,20
43,0.6552404505264199,2,21
44,0.766250904895482,2,22
45,0.7033272563250452,2,23
46,1.4662360344166356,2,24
47,0.754670638572798,2,25
48,0.8647870550316874,2,26
50,0.9368989422621917,3,4
51,0.9473777223482699,3,5
52,0.7944643964941686,3,6
53,0.7734445697367691,3,7
54,0.774524926300009,3,8
55,0.8541895543218239,3,9
56,0.7752781478310803,3,10
57,0.9881123143183109,3,11
58,0.8561708747103188,3,12
59,0.7911468620874801,3,13
60,1.1182139316319388,3,14
61,0.9145731367333889,3,15
62,1.1885116596431216,3,16
63,0.8240063778473141,3,18
64,0.9409289103392684,3,19
65,0.8244990136364296,3,20
66,0.9044851865812903,3,21
67,1.0370779292361174,3,22
68,0.8010277955287204,3,23
69,1.3410114997698195,3,24
70,0.9950640879743464,3,25
71,0.833174297197886,3,26
73,0.5743699420916578,4,5
74,0.7865102025226632,4,6
75,0.9557135418667169,4,7
76,0.7801140353302956,4,8
77,0.6381264953172191,4,9
78,0.7447731293463807,4,10
79,0.7518147078900091,4,11
80,0.5808135390598194,4,12
81,0.7117698499191625,4,13
82,0.6516989359817313,4,14
83,0.6146891082286429,4,15
84,0.6907894494396942,4,16
85,0.6300090517091039,4,18
86,0.5983336042950181,4,19
87,0.6683144890074091,4,20
88,0.5655415172492552,4,21
89,0.6460989990594488,4,22
90,0.7603776600128744,4,23
91,1.637210637874566,4,24
92,0.7003326935473546,4,25
93,0.995156724155864,4,26
95,0.7915518577934344,5,6
96,0.9713627931885044,5,7
97,0.7888284605417892,5,8
98,0.6347707022310807,5,9
99,0.7500424899942444,5,10
100,0.7461171588307748,5,11
101,0.5748209045463424,5,12
102,0.7151042947633655,5,13
103,0.6335757236906544,5,14
104,0.6064497684003239,5,15
105,0.6728424512938226,5,16
106,0.630017331329415,5,18
107,0.5836477554136366,5,19
108,0.6687768898081893,5,20
109,0.5543535747482679,5,21
110,0.6321850679074084,5,22
111,0.7667127758330843,5,23
112,1.652210095294441,5,24
113,0.6974667022721325,5,25
114,1.0078195946277666,5,26
116,0.7422015806996344,6,7
117,0.6970059492406391,6,8
118,0.7299608869494428,6,9
119,0.6857575883223017,6,10
120,0.8721357224494216,6,11
121,0.7187951569169814,6,12
122,0.6925296094499599,6,13
123,0.9561104998883806,6,14
124,0.7757543837434192,6,15
125,1.0249803531414594,6,16
126,0.7043855822203748,6,18
127,0.7943648521135374,6,19
128,0.7121814177645681,6,20
129,0.7522251606599037,6,21
130,0.8868694129049544,6,22
131,0.7173857404597784,6,23
132,1.3538598562379391,6,24
133,0.8680961007663683,6,25
134,0.8007640688545359,6,26
136,0.7146031537764752,7,8
137,0.8449984558505477,7,9
138,0.7212836277378901,7,10
139,0.9929507582165434,7,11
140,0.8598029472011328,7,12
141,0.7479625529699852,7,13
142,1.1707103812151722,7,14
143,0.9254345704935844,7,15
144,1.2517934102969386,7,16
145,0.80873180466683,7,18
146,0.9625221349570261,7,19
147,0.7997527184081683,7,20
148,0.91922374567127,7,21
149,1.0721250209722324,7,22
150,0.7566445591861386,7,23
151,1.242869591395988,7,24
152,1.0139534385451314,7,25
153,0.7499657963940056,7,26
155,0.7175991189745176,8,9
156,0.6626561097166139,8,10
157,0.8670205618682113,8,11
158,0.7079366544586159,8,12
159,0.6713932657175502,8,13
160,0.96662045483572,8,14
161,0.7680409268411077,8,15
162,1.0386059912582533,8,16
163,0.6882476156182169,8,18
164,0.7927603512510487,8,19
165,0.6939384290353142,8,20
166,0.7448019000839847,8,21
167,0.8901519903972122,8,22
168,0.6996962609490187,8,23
169,1.3310574824088477,8,24
170,0.8633017402686074,8,25
171,0.7784081787662391,8,26
173,0.6934937567607338,9,10
174,0.7715784611495164,9,11
175,0.5990983447397382,9,12
176,0.6745741312286591,9,13
177,0.7478920789158245,9,14
178,0.6477197492035587,9,15
179,0.7984224278938568,9,16
180,0.6229927800664385,9,18
181,0.6476332001371021,9,19
182,0.6526775394194566,9,20
183,0.609618558681266,9,21
184,0.71507485758469,9,22
185,0.7090835773783223,9,23
186,1.5110072369072705,9,24
187,0.7284315728249314,9,25
188,0.893793832188302,9,26
190,0.8438067642335833,10,11
191,0.680537163679794,10,12
192,0.6549984182916401,10,13
193,0.9242909704700821,10,14
194,0.7382160216124467,10,15
195,0.99698150540411,10,16
196,0.6669283050646354,10,18
197,0.7574399884430472,10,19
198,0.6751257364211037,10,20
199,0.7085027737561869,10,21
200,0.8539718371081196,10,22
201,0.6901424185053413,10,23
202,1.3439819320141202,10,24
203,0.842066329742829,10,25
204,0.7816992027304438,10,26
206,0.728198116583106,11,12
207,0.8189110264152624,11,13
208,0.8277287902559829,11,14
209,0.764982871540504,11,15
210,0.8681962857888323,11,16
211,0.7603207673694531,11,18
212,0.7589411990754588,11,19
213,0.7909380882842977,11,20
214,0.7311817950806276,11,21
215,0.8103366124736072,11,22
216,0.8482983048642352,11,23
217,1.625136557243286,11,24
218,0.8351067882291594,11,25
219,1.0313663954294705,11,26
221,0.6528220830374724,12,13
222,0.6805447558554386,12,14
223,0.5955157627793914,12,15
224,0.7278828756827894,12,16
225,0.5846323308544072,12,18
226,0.5899890662874162,12,19
227,0.6197668597797776,12,20
228,0.552707298474699,12,21
229,0.6548579645303508,12,22
230,0.6910024229729484,12,23
231,1.5393607794398267,12,24
232,0.6761965119228815,12,25
233,0.9041603312586051,12,26
235,0.8727329369096309,13,14
236,0.7086208376452017,13,15
237,0.939838652864421,13,16
238,0.6500835601051215,13,18
239,0.724348801839947,13,19
240,0.663323931823808,13,20
241,0.6786700283018144,13,21
242,0.8124332310198288,13,22
243,0.6884962403767747,13,23
244,1.385029326739357,13,24
245,0.8048438267788779,13,25
246,0.8064657097794474,13,26
248,0.6947815956916674,14,15
249,0.6431886691238707,14,16
250,0.7519377274247014,14,18
251,0.6606537423715753,14,19
252,0.8034098299969791,14,20
253,0.6458565203731547,14,21
254,0.667952568274144,14,22
255,0.914104031159258,14,23
256,1.8542407889349861,14,24
257,0.7480897760484693,14,25
258,1.1978461056766743,14,26
260,0.7362596137314636,15,16
261,0.6365430341452211,15,18
262,0.6240128255768965,15,19
263,0.672716319144434,15,20
264,0.5922016471151599,15,21
265,0.6793979252390124,15,22
266,0.7490061727500209,15,23
267,1.597884905656591,15,24
268,0.7147854612073136,15,25
269,0.9668102233284369,15,26
271,0.8049272026804379,16,18
272,0.6997889899832888,16,19
273,0.861145802015845,16,20
274,0.6896834960422675,16,21
275,0.692755076079963,16,22
276,0.9764928081678999,16,23
277,1.9363622021661375,16,24
278,0.7753706288982088,16,25
279,1.2758638803632458,16,26
281,0.6412439206323391,18,19
282,0.6321520144160218,18,20
283,0.6008652924529377,18,21
284,0.7127526657543113,18,22
285,0.6828198056808418,18,23
286,1.4768827205266961,18,24
287,0.7166682971720897,18,25
288,0.8607787702050731,18,26
290,0.6798635693423646,19,20
291,0.5762663254374035,19,21
292,0.6555153235103907,19,22
293,0.7673677426176132,19,23
294,1.6361481699069889,19,24
295,0.7091131632977612,19,25
296,0.9984543680236551,19,26
298,0.6380874659621977,20,21
299,0.7571267421341735,20,22
300,0.6981344436152204,20,23
301,1.4530275274244175,20,24
302,0.759318465001199,20,25
303,0.853392202050355,20,26
305,0.6337487564448064,21,22
306,0.7283882808437623,21,23
307,1.6018163651956094,21,24
308,0.6834006797279887,21,25
309,0.9588005579327653,21,26
311,0.8522832978638439,22,23
312,1.7478671491487432,22,24
313,0.7439957948837607,22,25
314,1.1050106439505751,22,26
316,1.382378316403935,23,24
317,0.8259975805284309,23,25
318,0.8138032679447548,23,26
320,1.687598753316692,24,25
321,1.2915440948736334,24,26
323,1.05518733934373,25,26
